1.204861e+01	1.006945e+00	1.006945e+00	1.714259e-02	7.869227e-03	1.289664e-02
1.406250e+01	1.006940e+00	1.006940e+00	1.378547e-02	3.401013e-03	4.958825e-03
1.607639e+01	1.006945e+00	1.006945e+00	2.500711e-01	7.792678e-02	1.885160e-01
1.809027e+01	1.006945e+00	1.006945e+00	1.128595e+00	3.299487e-01	6.362736e-01
2.010417e+01	1.006945e+00	1.006945e+00	1.941605e+00	6.047601e-01	3.051730e+00
2.211805e+01	1.006945e+00	1.006945e+00	2.339923e+00	7.945532e-01	1.439119e+00
2.413195e+01	1.006945e+00	1.006945e+00	2.736779e+00	9.115813e-01	2.234707e+00
2.614583e+01	1.006945e+00	1.006945e+00	3.093147e+00	1.052804e+00	5.659307e+00
2.815973e+01	1.006945e+00	1.006945e+00	3.376524e+00	1.348287e+00	5.050894e+00
3.017361e+01	1.006945e+00	1.006945e+00	3.736137e+00	1.289437e+00	5.252350e+00
3.218750e+01	1.006940e+00	1.006940e+00	4.255046e+00	1.506338e+00	8.960988e+00
3.420139e+01	1.006945e+00	1.006945e+00	4.939655e+00	1.630804e+00	6.641531e+00
3.621527e+01	1.006945e+00	1.006945e+00	5.345658e+00	1.812025e+00	6.998230e+00
3.822916e+01	1.006945e+00	1.006945e+00	5.989695e+00	2.291897e+00	1.834420e+01
4.024305e+01	1.006945e+00	1.006945e+00	6.190163e+00	2.177503e+00	1.047740e+01
4.225695e+01	1.006945e+00	1.006945e+00	6.183039e+00	2.059255e+00	1.108247e+01
4.427084e+01	1.006945e+00	1.006945e+00	6.876894e+00	6.224970e+00	4.209100e+01
4.628473e+01	1.006945e+00	1.006945e+00	6.480048e+00	2.390597e+00	7.086765e+00
4.829861e+01	1.006945e+00	1.006945e+00	6.883826e+00	2.555434e+00	1.238876e+01
5.031250e+01	1.006940e+00	1.006940e+00	6.930161e+00	2.506159e+00	8.965299e+00
5.232639e+01	1.006945e+00	1.006945e+00	7.137037e+00	3.150934e+00	1.090759e+01
5.434027e+01	1.006945e+00	1.006945e+00	7.774285e+00	3.091343e+00	1.876655e+01
5.635416e+01	1.006945e+00	1.006945e+00	8.558876e+00	3.468195e+00	3.066431e+01
